Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
WD-REC-00001,Workday,RECRUITING,Requisition,Corporate,Requisition -> Offer -> Hire -> Onboard -> Payroll,Mobile,Submit Corporate Workday Requisition,Workday access is provisioned and Corporate test data exists,"1. Open Workday Requisition.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00002,Workday,RECRUITING,Requisition,Corporate,Employee Life Event -> Benefits -> Payroll -> Reporting,Data Migration,Edit Corporate Workday Requisition,Workday access is provisioned and Corporate test data exists,"1. Open Workday Requisition.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00003,Workday,RECRUITING,Requisition,Corporate,Expense Submit -> Approval -> Accounting -> Reimbursement,Performance,Submit Corporate Workday Requisition,Workday access is provisioned and Corporate test data exists,"1. Open Workday Requisition.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00004,Workday,RECRUITING,Requisition,Corporate,Supplier Invoice -> Matching -> Approval -> Payment,Workflow,Submit Corporate Workday Requisition,Workday access is provisioned and Corporate test data exists,"1. Open Workday Requisition.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00005,Workday,RECRUITING,Requisition,Corporate,Integration Load -> Validate -> Error Handling -> Reprocess,Mobile,Approve Corporate Workday Requisition,Workday access is provisioned and Corporate test data exists,"1. Open Workday Requisition.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00006,Workday,RECRUITING,Requisition,Corporate,Recruiting -> Hire -> Onboard -> Time -> Payroll,Security,Review Corporate Workday Requisition,Workday access is provisioned and Corporate test data exists,"1. Open Workday Requisition.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00007,Workday,RECRUITING,Requisition,Corporate,Budget -> Expense -> Journal -> Dashboard,Regression,Review Corporate Workday Requisition,Workday access is provisioned and Corporate test data exists,"1. Open Workday Requisition.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,Accessibility,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00008,Workday,RECRUITING,Requisition,Retail,Requisition -> Offer -> Hire -> Onboard -> Payroll,Regression,Sync Retail Workday Requisition,Workday access is provisioned and Retail test data exists,"1. Open Workday Requisition.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00009,Workday,RECRUITING,Requisition,Retail,Employee Life Event -> Benefits -> Payroll -> Reporting,Data Migration,Submit Retail Workday Requisition,Workday access is provisioned and Retail test data exists,"1. Open Workday Requisition.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00010,Workday,RECRUITING,Requisition,Retail,Expense Submit -> Approval -> Accounting -> Reimbursement,Workflow,Export Retail Workday Requisition,Workday access is provisioned and Retail test data exists,"1. Open Workday Requisition.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00011,Workday,RECRUITING,Requisition,Retail,Supplier Invoice -> Matching -> Approval -> Payment,Performance,Close Retail Workday Requisition,Workday access is provisioned and Retail test data exists,"1. Open Workday Requisition.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00012,Workday,RECRUITING,Requisition,Retail,Integration Load -> Validate -> Error Handling -> Reprocess,UI,Close Retail Workday Requisition,Workday access is provisioned and Retail test data exists,"1. Open Workday Requisition.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00013,Workday,RECRUITING,Requisition,Retail,Recruiting -> Hire -> Onboard -> Time -> Payroll,Accessibility,Review Retail Workday Requisition,Workday access is provisioned and Retail test data exists,"1. Open Workday Requisition.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00014,Workday,RECRUITING,Requisition,Retail,Budget -> Expense -> Journal -> Dashboard,Integration,Approve Retail Workday Requisition,Workday access is provisioned and Retail test data exists,"1. Open Workday Requisition.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00015,Workday,RECRUITING,Requisition,Healthcare,Requisition -> Offer -> Hire -> Onboard -> Payroll,UI,Route Healthcare Workday Requisition,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Requisition.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00016,Workday,RECRUITING,Requisition,Healthcare,Employee Life Event -> Benefits -> Payroll -> Reporting,UI,Validate Healthcare Workday Requisition,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Requisition.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00017,Workday,RECRUITING,Requisition,Healthcare,Expense Submit -> Approval -> Accounting -> Reimbursement,Functional,Reject Healthcare Workday Requisition,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Requisition.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00018,Workday,RECRUITING,Requisition,Healthcare,Supplier Invoice -> Matching -> Approval -> Payment,Mobile,Submit Healthcare Workday Requisition,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Requisition.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00019,Workday,RECRUITING,Requisition,Healthcare,Integration Load -> Validate -> Error Handling -> Reprocess,Mobile,Reject Healthcare Workday Requisition,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Requisition.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00020,Workday,RECRUITING,Requisition,Healthcare,Recruiting -> Hire -> Onboard -> Time -> Payroll,Integration,Sync Healthcare Workday Requisition,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Requisition.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00021,Workday,RECRUITING,Requisition,Healthcare,Budget -> Expense -> Journal -> Dashboard,Accessibility,Sync Healthcare Workday Requisition,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Requisition.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00022,Workday,RECRUITING,Requisition,Manufacturing,Requisition -> Offer -> Hire -> Onboard -> Payroll,Functional,Submit Manufacturing Workday Requisition,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Requisition.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00023,Workday,RECRUITING,Requisition,Manufacturing,Employee Life Event -> Benefits -> Payroll -> Reporting,Performance,Sync Manufacturing Workday Requisition,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Requisition.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00024,Workday,RECRUITING,Requisition,Manufacturing,Expense Submit -> Approval -> Accounting -> Reimbursement,Security,Route Manufacturing Workday Requisition,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Requisition.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00025,Workday,RECRUITING,Requisition,Manufacturing,Supplier Invoice -> Matching -> Approval -> Payment,Performance,Create Manufacturing Workday Requisition,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Requisition.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Low,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00026,Workday,RECRUITING,Requisition,Manufacturing,Integration Load -> Validate -> Error Handling -> Reprocess,Data Migration,Update Manufacturing Workday Requisition,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Requisition.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00027,Workday,RECRUITING,Requisition,Manufacturing,Recruiting -> Hire -> Onboard -> Time -> Payroll,UI,Export Manufacturing Workday Requisition,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Requisition.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00028,Workday,RECRUITING,Requisition,Manufacturing,Budget -> Expense -> Journal -> Dashboard,Accessibility,Validate Manufacturing Workday Requisition,Workday access is provisioned and Manufacturing test data exists,"1. Open Workday Requisition.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00029,Workday,RECRUITING,Requisition,Education,Requisition -> Offer -> Hire -> Onboard -> Payroll,Workflow,Route Education Workday Requisition,Workday access is provisioned and Education test data exists,"1. Open Workday Requisition.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00030,Workday,RECRUITING,Requisition,Education,Employee Life Event -> Benefits -> Payroll -> Reporting,Integration,Update Education Workday Requisition,Workday access is provisioned and Education test data exists,"1. Open Workday Requisition.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00031,Workday,RECRUITING,Requisition,Education,Expense Submit -> Approval -> Accounting -> Reimbursement,Regression,Route Education Workday Requisition,Workday access is provisioned and Education test data exists,"1. Open Workday Requisition.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Accessibility,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00032,Workday,RECRUITING,Requisition,Education,Supplier Invoice -> Matching -> Approval -> Payment,UI,Export Education Workday Requisition,Workday access is provisioned and Education test data exists,"1. Open Workday Requisition.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Accessibility,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00033,Workday,RECRUITING,Requisition,Education,Integration Load -> Validate -> Error Handling -> Reprocess,Integration,Export Education Workday Requisition,Workday access is provisioned and Education test data exists,"1. Open Workday Requisition.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00034,Workday,RECRUITING,Requisition,Education,Recruiting -> Hire -> Onboard -> Time -> Payroll,Data Migration,Edit Education Workday Requisition,Workday access is provisioned and Education test data exists,"1. Open Workday Requisition.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00035,Workday,RECRUITING,Requisition,Education,Budget -> Expense -> Journal -> Dashboard,Regression,Update Education Workday Requisition,Workday access is provisioned and Education test data exists,"1. Open Workday Requisition.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00036,Workday,RECRUITING,Requisition,Nonprofit,Requisition -> Offer -> Hire -> Onboard -> Payroll,Performance,Reject Nonprofit Workday Requisition,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Requisition.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Low,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00037,Workday,RECRUITING,Requisition,Nonprofit,Employee Life Event -> Benefits -> Payroll -> Reporting,Workflow,Import Nonprofit Workday Requisition,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Requisition.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00038,Workday,RECRUITING,Requisition,Nonprofit,Expense Submit -> Approval -> Accounting -> Reimbursement,Regression,Import Nonprofit Workday Requisition,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Requisition.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00039,Workday,RECRUITING,Requisition,Nonprofit,Supplier Invoice -> Matching -> Approval -> Payment,Security,Create Nonprofit Workday Requisition,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Requisition.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00040,Workday,RECRUITING,Requisition,Nonprofit,Integration Load -> Validate -> Error Handling -> Reprocess,Functional,Approve Nonprofit Workday Requisition,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Requisition.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,Accessibility,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00041,Workday,RECRUITING,Requisition,Nonprofit,Recruiting -> Hire -> Onboard -> Time -> Payroll,Accessibility,Route Nonprofit Workday Requisition,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Requisition.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00042,Workday,RECRUITING,Requisition,Nonprofit,Budget -> Expense -> Journal -> Dashboard,Regression,Review Nonprofit Workday Requisition,Workday access is provisioned and Nonprofit test data exists,"1. Open Workday Requisition.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00043,Workday,RECRUITING,Requisition,Financial Services,Requisition -> Offer -> Hire -> Onboard -> Payroll,UI,Review Financial Services Workday Requisition,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Requisition.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00044,Workday,RECRUITING,Requisition,Financial Services,Employee Life Event -> Benefits -> Payroll -> Reporting,Integration,Close Financial Services Workday Requisition,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Requisition.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00045,Workday,RECRUITING,Requisition,Financial Services,Expense Submit -> Approval -> Accounting -> Reimbursement,Security,Sync Financial Services Workday Requisition,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Requisition.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",High,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00046,Workday,RECRUITING,Requisition,Financial Services,Supplier Invoice -> Matching -> Approval -> Payment,Integration,Review Financial Services Workday Requisition,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Requisition.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Medium,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00047,Workday,RECRUITING,Requisition,Financial Services,Integration Load -> Validate -> Error Handling -> Reprocess,Regression,Submit Financial Services Workday Requisition,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Requisition.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00048,Workday,RECRUITING,Requisition,Financial Services,Recruiting -> Hire -> Onboard -> Time -> Payroll,Regression,Route Financial Services Workday Requisition,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Requisition.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00049,Workday,RECRUITING,Requisition,Financial Services,Budget -> Expense -> Journal -> Dashboard,Performance,Close Financial Services Workday Requisition,Workday access is provisioned and Financial Services test data exists,"1. Open Workday Requisition.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00050,Workday,RECRUITING,Requisition,Technology,Requisition -> Offer -> Hire -> Onboard -> Payroll,Security,Create Technology Workday Requisition,Workday access is provisioned and Technology test data exists,"1. Open Workday Requisition.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Low,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-REC-00051,Workday,RECRUITING,Requisition,Technology,Employee Life Event -> Benefits -> Payroll -> Reporting,Data Migration,Sync Technology Workday Requisition,Workday access is provisioned and Technology test data exists,"1. Open Workday Requisition.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,Regression,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
